model_code|version_name|spec_category|spec_key|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 7|Plus|Động cơ & Vận hành|drivetrain|Dẫn động cầu trước (FWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 226.2, 1342.0, 261.9]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Động cơ & Vận hành|drivetrain|Hai cầu (AWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 226.2, 1576.0, 261.9]|p12_b02|0.98
VF 7|Eco|Pin & Sạc|range_km|498|km (NEDC)|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 261.9, 1141.6, 298.2]|p12_b02|0.98
VF 7|Plus|Pin & Sạc|range_km|Cập nhật sau|km|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 261.9, 1342.0, 298.2]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Pin & Sạc|range_km|496|km (NEDC)|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 261.9, 1576.0, 298.2]|p12_b02|0.98
VF 7|Eco|Pin & Sạc|battery_kwh|59.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 298.2, 1141.6, 333.9]|p12_b02|0.98
VF 7|Plus|Pin & Sạc|battery_kwh|75.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 298.2, 1342.0, 333.9]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Pin & Sạc|battery_kwh|75.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 298.2, 1576.0, 333.9]|p12_b02|0.98
VF 7|Eco|Pin & Sạc|Chi phí sạc pin|0|VNĐ|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[639.8, 333.9, 1141.6, 401.2]|p12_b02|0.98
VF 7|Plus|Pin & Sạc|Chi phí sạc pin|0|VNĐ|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1141.6, 333.9, 1342.0, 401.2]|p12_b02|0.98
VF 7|Plus AWD (Optional)|Pin & Sạc|Chi phí sạc pin|0|VNĐ|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|12|[1342.0, 333.9, 1576.0, 401.2]|p12_b02|0.98
VF 7|Eco|Kích thước|length_mm|4.545|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Eco|Kích thước|width_mm|1.89|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Eco|Kích thước|height_mm|1,635.75|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Plus|Kích thước|length_mm|4.545|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Plus|Kích thước|width_mm|1.89|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Plus|Kích thước|height_mm|1,635.75|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Plus AWD|Kích thước|length_mm|4.545|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Plus AWD|Kích thước|width_mm|1.89|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Plus AWD|Kích thước|height_mm|1,635.75|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 57.1, 648.3, 70.2]|p13_b02|0.4
VF 7|Eco|Kích thước|wheelbase_mm|2.84|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 70.8, 648.3, 84.5]|p13_b02|0.4
VF 7|Plus|Kích thước|wheelbase_mm|2.84|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 70.8, 648.3, 84.5]|p13_b02|0.4
VF 7|Plus AWD|Kích thước|wheelbase_mm|2.84|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 70.8, 648.3, 84.5]|p13_b02|0.4
VF 7|Eco|Kích thước|ground_clearance_mm|190|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 85.1, 648.3, 98.2]|p13_b02|0.98
VF 7|Plus|Kích thước|ground_clearance_mm|190|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 85.1, 648.3, 98.2]|p13_b02|0.98
VF 7|Plus AWD|Kích thước|ground_clearance_mm|190|mm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 85.1, 648.3, 98.2]|p13_b02|0.98
VF 7|Eco|Động cơ|power_kw|130|kW|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 126.8, 648.3, 140.5]|p13_b02|0.98
VF 7|Plus|Động cơ|power_kw|150|kW|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 126.8, 648.3, 140.5]|p13_b02|0.98
VF 7|Plus AWD|Động cơ|power_kw|260|kW|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 126.8, 648.3, 140.5]|p13_b02|0.98
VF 7|Eco|Động cơ|torque_nm|250|Nm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 140.5, 648.3, 153.6]|p13_b02|0.98
VF 7|Plus|Động cơ|torque_nm|310|Nm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 140.5, 648.3, 153.6]|p13_b02|0.98
VF 7|Plus AWD|Động cơ|torque_nm|500|Nm|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 140.5, 648.3, 153.6]|p13_b02|0.98
VF 7|Eco|Pin|range_km|498|km (NEDC)|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 167.3, 648.3, 180.9]|p13_b02|0.98
VF 7|Plus|Pin|range_km|Thông báo sau|km|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 167.3, 648.3, 180.9]|p13_b02|0.98
VF 7|Plus AWD|Pin|range_km|496|km (NEDC)|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 167.3, 648.3, 180.9]|p13_b02|0.98
VF 7|Eco|Pin|battery_kwh|59.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 180.9, 648.3, 194.6]|p13_b02|0.98
VF 7|Plus|Pin|battery_kwh|75.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 180.9, 648.3, 194.6]|p13_b02|0.98
VF 7|Plus AWD|Pin|battery_kwh|75.6|kWh|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 180.9, 648.3, 194.6]|p13_b02|0.98
VF 7|Eco|Pin|Dây sạc di động|Phụ kiện (AFS 3,5 kW)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 194.6, 648.3, 208.3]|p13_b02|0.98
VF 7|Plus|Pin|Dây sạc di động|Phụ kiện (AFS 3,5 kW)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 194.6, 648.3, 208.3]|p13_b02|0.98
VF 7|Plus AWD|Pin|Dây sạc di động|Phụ kiện (AFS 3,5 kW)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 194.6, 648.3, 208.3]|p13_b02|0.98
VF 7|Eco|Pin|Bộ sạc tại nhà|Phụ kiện (AFS 7,4 kW)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 208.3, 648.3, 222.0]|p13_b02|0.98
VF 7|Plus|Pin|Bộ sạc tại nhà|Phụ kiện (AFS 7,4 kW)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 208.3, 648.3, 222.0]|p13_b02|0.98
VF 7|Plus AWD|Pin|Bộ sạc tại nhà|Phụ kiện (AFS 7,4 kW)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 208.3, 648.3, 222.0]|p13_b02|0.98
VF 7|Eco|Pin|fast_charge_min|24.1|phút|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 222.0, 648.3, 235.7]|p13_b02|0.98
VF 7|Plus|Pin|fast_charge_min|28.15|phút|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 222.0, 648.3, 235.7]|p13_b02|0.98
VF 7|Plus AWD|Pin|fast_charge_min|28.15|phút|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 222.0, 648.3, 235.7]|p13_b02|0.98
VF 7|Eco|Thông số truyền động khác|drivetrain|Cầu trước (FWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 250.6, 648.3, 264.3]|p13_b02|0.98
VF 7|Plus|Thông số truyền động khác|drivetrain|Cầu trước (FWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 250.6, 648.3, 264.3]|p13_b02|0.98
VF 7|Plus AWD|Thông số truyền động khác|drivetrain|Hai cầu (AWD)||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 250.6, 648.3, 264.3]|p13_b02|0.98
VF 7|Eco|Thông số truyền động khác|Chế độ lái|Eco/ Normal/ Sport||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 264.3, 648.3, 277.4]|p13_b02|0.98
VF 7|Plus|Thông số truyền động khác|Chế độ lái|Eco/ Normal/ Sport||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 264.3, 648.3, 277.4]|p13_b02|0.98
VF 7|Plus AWD|Thông số truyền động khác|Chế độ lái|Eco/ Normal/ Sport||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 264.3, 648.3, 277.4]|p13_b02|0.98
VF 7|Eco|Khung gầm|wheel_size_inch|19|inch|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 291.1, 648.3, 304.7]|p13_b02|0.98
VF 7|Plus|Khung gầm|wheel_size_inch|20|inch|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 291.1, 648.3, 304.7]|p13_b02|0.98
VF 7|Plus AWD|Khung gầm|wheel_size_inch|20|inch|vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 291.1, 648.3, 304.7]|p13_b02|0.98
VF 7|Eco|Khung gầm|Hệ thống treo - trước|Độc lập, MacPherson||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 304.7, 648.3, 318.4]|p13_b02|0.98
VF 7|Plus|Khung gầm|Hệ thống treo - trước|Độc lập, MacPherson||vf7_brochure|https://vinfastnamtuliem.vn/wp-content/uploads/2025/02/VF7_Brochure_T062025.pdf|13|[84.2, 304.7, 648.3, 318.4]|p13_b02|0.98
