model_id|version_code|version_name|color_code|color_name|color_type|color_fee_vnd|interior_code|interior_name|source_url
VF9|NE3LV|Eco|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3LV|Eco|CE17|Desat Silver|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus tùy chọn 7 chỗ|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus tùy chọn 7 chỗ|CE1M|Crimson Red|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus tùy chọn 7 chỗ|CE1W|Urban Mint|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus tùy chọn 7 chỗ|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus tùy chọn 7 chỗ|CE22|Ivy Green|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus tùy chọn 7 chỗ|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3MV|Plus tùy chọn 7 chỗ|CE17|Desat Silver|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE1M|Crimson Red|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE1W|Urban Mint|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE22|Ivy Green|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF9|NE3NV|PlusCaptain|CE17|Desat Silver|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF9
VF8NEW|HC11V|Comfort|CE33|Starburst Blue|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|1832|Vitality Orange Body - Infinity Blanc Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|1833|Starburst Blue Body - Infinity Blanc Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|CE32|Vitality Orange|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|112Q|Solar Ruby Body - Jet Black Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|3111|Jet Black Body - Stealth Gray Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|CE2O|Mysterioso Purple|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|1132|Vitality Orange Body - Jet Black Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|CE2Q|Solar Ruby|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|Comfort|312O|Mysterioso Purple Body - Stealth Gray Roof|Nâng cao|12000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VFMPV7|SL1WV|TieuChuan|CE1V|Zenith Grey|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|TieuChuan|CE2J|Moonlit Ocean|Nâng cao|10000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|TieuChuan|CE11|Jet Black|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|TieuChuan|CE18|Infinity Blanc|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|TieuChuan|CE2Q|Solar Ruby|Cơ bản|0|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|TieuChuan|CE2N|Introspective Brown|Nâng cao|10000000|||https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
