model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_document|source_url|source_page|source_bbox|source_block_id|confidence
VF 2|||safety|An toàn|airbags|airbags|Có||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||safety|An toàn|Hệ thống chống bó cứng phanh (ABS)|Hệ thống chống bó cứng phanh (ABS)|Có||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||safety|An toàn|Chức năng phân phối lực phanh điện tử (EBD)|Phân phối lực phanh điện tử (EBD)|Có||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 2|||safety|An toàn|Kiểm soát lực kéo (TCS)|Hệ thống kiểm soát lực kéo (TCS)|Có||vf2_brochure|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf|2|[21.0, 595.3, 188.8, 595.3]|p02_b02|0.4
VF 3|Eco||pricing|Pricing|Giá bán chính thức|Giá bán chính thức|302|triệu|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|2|[560.1, 178.6, 700.1, 297.6]|p02_b02|0.98
VF 3|Plus||pricing|Pricing|Giá bán chính thức|Giá bán chính thức|315|triệu|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|2|[746.8, 178.6, 886.8, 297.6]|p02_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|Chiều dài tổng thể|Chiều dài tổng thể|3190|mm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[46.7, 178.6, 466.7, 208.3]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|Chiều rộng tổng thể|Chiều rộng tổng thể|1679|mm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[46.7, 238.1, 466.7, 267.9]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|Chiều cao tổng thể|Chiều cao tổng thể|1652|mm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[46.7, 297.6, 466.7, 327.4]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|wheelbase_mm|wheelbase_mm|2075|mm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[46.7, 357.2, 466.7, 386.9]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|Động cơ|Loại động cơ|01 Motor||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[513.4, 119.1, 886.8, 148.8]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|power_kw|power_kw|30|kW|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[513.4, 178.6, 886.8, 208.3]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|torque_nm|torque_nm|110|Nm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[513.4, 238.1, 886.8, 267.9]|p04_b02|0.98
VF 3|||battery|Pin & sạc|fast_charge_min|fast_charge_min|36|phút|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[513.4, 297.6, 886.8, 327.4]|p04_b02|0.98
VF 3|||powertrain|Hệ thống truyền động|drivetrain|drivetrain|RWD/Cầu sau||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|4|[513.4, 357.2, 886.8, 386.9]|p04_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|Tải trọng|Tải trọng|300|kg|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|5|[560.1, 119.1, 746.8, 178.6]|p05_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|Tải hành lý|Tải hành lý|50|kg|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|5|[186.7, 89.3, 373.4, 148.8]|p05_b02|0.98
VF 3|||dimension|Kích thước & trọng lượng|length_mm|length_mm|10|mm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|5|[560.1, 238.1, 746.8, 297.6]|p05_b02|0.4
VF 3|||dimension|Kích thước & trọng lượng|Linh hoạt|Bán kính quay vòng tối thiểu|4.5|m|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|5|[373.4, 357.2, 560.1, 416.7]|p05_b02|0.98
VF 3|||convenience|Tiện nghi|Tối đa|Tối đa|215|km|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|5|[186.7, 476.2, 373.4, 535.7]|p05_b02|0.98
VF 3|||convenience|Tiện nghi|Cao|Cao|175|mm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|5|[560.1, 416.7, 746.8, 476.2]|p05_b02|0.98
VF 3|||battery|Pin & sạc|Thời gian|Thời gian|36|phút|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|5|[46.7, 535.7, 233.4, 595.3]|p05_b02|0.98
VF 3|||convenience|Tiện nghi|Đỏ|Đỏ|Solar Ruby||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|7|[46.7, 119.1, 280.0, 178.6]|p07_b02|0.98
VF 3|||convenience|Tiện nghi|Hồng|Hồng|Rose Pink + Nóc Trắng||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|7|[606.7, 119.1, 840.1, 178.6]|p07_b02|0.98
VF 3|||convenience|Tiện nghi|Vàng|Vàng|Yellow Summer + Nóc Trắng||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|7|[886.8, 119.1, 933.4, 178.6]|p07_b02|0.98
VF 3|||convenience|Tiện nghi|Xanh Dương|Xanh Dương|Sky Blue + Nóc Trắng||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|7|[886.8, 238.1, 933.4, 297.6]|p07_b02|0.98
VF 3|||convenience|Tiện nghi|Trắng|Trắng|Infinity Blanc||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|7|[46.7, 238.1, 280.0, 297.6]|p07_b02|0.98
VF 3|||convenience|Tiện nghi|Xám|Xám|Zenith Grey||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|7|[46.7, 357.2, 280.0, 416.7]|p07_b02|0.98
VF 3|||convenience|Tiện nghi|Xanh Lá Nhạt|Xanh Lá Nhạt|Urban Mint||vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|7|[606.7, 357.2, 840.1, 416.7]|p07_b02|0.98
VF 3|||warranty|Warranty|Thời gian bảo hành tiêu chuẩn|Thời gian bảo hành tiêu chuẩn|7|năm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[93.3, 119.1, 373.4, 148.8]|p08_b02|0.98
VF 3|||convenience|Tiện nghi|range_km|range_km|160000|km|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[373.4, 119.1, 653.4, 148.8]|p08_b02|0.4
VF 3|||convenience|Tiện nghi|Thời gian bảo hành dịch vụ thương mại|Thời gian bảo hành dịch vụ thương mại|3|năm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[93.3, 178.6, 373.4, 208.3]|p08_b02|0.98
VF 3|||convenience|Tiện nghi|range_km|range_km|100000|km|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[373.4, 178.6, 653.4, 208.3]|p08_b02|0.4
VF 3|||warranty|Warranty|Thời gian bảo hành tiêu chuẩn|Thời gian bảo hành tiêu chuẩn|8|năm|vf3_brochure|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf|8|[93.3, 238.1, 373.4, 267.9]|p08_b02|0.98
