STT,Mẫu xe,Mã phiên bản,Tên phiên bản,Mã màu,Tên màu ngoại thất,Phân loại màu,Phí màu nâng cao (đ),Số nội thất đi kèm,Mã nội thất,Tên nội thất,optionsName,Tùy chọn nâng cấp (giá tăng thêm),,,,,,,,,,,
75,VF 8,ND32V,Plus,171V,Zenith Grey - Desat Silver Roof,Nâng cao,12.000.000,2,"CI11, CI12","Granite Black, Saddle Brown",,,,,,,,,,,,,
76,VF 8,ND32V,Plus,CE22,Ivy Green,Cơ bản,,2,"CI12, CI11","Saddle Brown, Granite Black",,,,,,,,,,,,,
77,VF 8,ND32V,Plus,1V18,Infinity Blanc - Zenith Grey Roof,Nâng cao,12.000.000,2,"CI12, CI11","Saddle Brown, Granite Black",,,,,,,,,,,,,
78,VF 8,ND32V,Plus,2927,Crimson Velvet - Mystery Bronze Roof,Nâng cao,12.000.000,2,"CI11, CI12","Granite Black, Saddle Brown",,,,,,,,,,,,,
79,VF 8,ND32V,Plus,2911,Jet Black - Mystery Bronze Roof,Nâng cao,12.000.000,2,"CI11, CI12","Granite Black, Saddle Brown",,,,,,,,,,,,,
107,VF 8 The All New,HC11V,Comfort,CE33,Starburst Blue,Cơ bản,,2,"CI12, CI11","Saddle Brown, Black",,,,,,,,,,,,,
108,VF 8 The All New,HC11V,Comfort,1832,Vitality Orange Body - Infinity Blanc Roof,Nâng cao,12.000.000,1,CI11,Black,,,,,,,,,,,,,
109,VF 8 The All New,HC11V,Comfort,1833,Starburst Blue Body - Infinity Blanc Roof,Nâng cao,12.000.000,2,"CI12, CI11","Saddle Brown, Black",,,,,,,,,,,,,
110,VF 8 The All New,HC11V,Comfort,CE11,Jet Black,Cơ bản,,2,"CI11, CI12","Black, Saddle Brown",,,,,,,,,,,,,
111,VF 8 The All New,HC11V,Comfort,CE32,Vitality Orange,Nâng cao,12.000.000,1,CI11,Black,,,,,,,,,,,,,
112,VF 8 The All New,HC11V,Comfort,112Q,Solar Ruby Body - Jet Black Roof,Nâng cao,12.000.000,1,CI11,Black,,,,,,,,,,,,,
113,VF 8 The All New,HC11V,Comfort,3111,Jet Black Body - Stealth Gray Roof,Nâng cao,12.000.000,2,"CI11, CI12","Black, Saddle Brown",,,,,,,,,,,,,
114,VF 8 The All New,HC11V,Comfort,CE2O,Mysterioso Purple,Nâng cao,12.000.000,1,CI11,Black,,,,,,,,,,,,,
115,VF 8 The All New,HC11V,Comfort,1132,Vitality Orange Body - Jet Black Roof,Nâng cao,12.000.000,1,CI11,Black,,,,,,,,,,,,,
116,VF 8 The All New,HC11V,Comfort,CE18,Infinity Blanc,Cơ bản,,2,"CI11, CI12","Black, Saddle Brown",,,,,,,,,,,,,
117,VF 8 The All New,HC11V,Comfort,CE2Q,Solar Ruby,Cơ bản,,1,CI11,Black,,,,,,,,,,,,,
118,VF 8 The All New,HC11V,Comfort,312O,Mysterioso Purple Body - Stealth Gray Roof,Nâng cao,12.000.000,1,CI11,Black,,,,,,,,,,,,,
80,VF 9,NE3LV,Eco,CE18,Infinity Blanc,Cơ bản,,1,CI11,Granite Black,,,,,,,,,,,,,
81,VF 9,NE3LV,Eco,CE1M,Crimson Red,Cơ bản,,2,"CI11, CI13","Granite Black, Cotton Beige",,,,,,,,,,,,,
