model_id|version_code|version_name|color_code|color_name|color_type|color_fee_vnd|interior_code|interior_name|source_url
VF8NEW|HC11V|The All New|CE32|Vitality Orange|Nâng cao|12000000|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|112Q|Solar Ruby Body - Jet Black Roof|Nâng cao|12000000|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|3111|Jet Black Body - Stealth Gray Roof|Nâng cao|12000000|CI11, CI12|Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|CE2O|Mysterioso Purple|Nâng cao|12000000|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|1132|Vitality Orange Body - Jet Black Roof|Nâng cao|12000000|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|CE18|Infinity Blanc|Cơ bản|0|CI11, CI12|Black, Saddle Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|CE2Q|Solar Ruby|Cơ bản|0|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VF8NEW|HC11V|The All New|312O|Mysterioso Purple Body - Stealth Gray Roof|Nâng cao|12000000|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VF8NEW
VFMPV7|SL1WV|Eco|CE1V|Zenith Grey|Cơ bản|0|CI11, CI18|Black, Mocca Brown|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|Eco|CE2J|Moonlit Ocean|Nâng cao|10000000|CI18, CI11|Mocca Brown, Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|Eco|CE11|Jet Black|Cơ bản|0|CI18, CI11|Mocca Brown, Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|Eco|CE18|Infinity Blanc|Cơ bản|0|CI18, CI11|Mocca Brown, Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|Eco|CE2Q|Solar Ruby|Cơ bản|0|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
VFMPV7|SL1WV|Eco|CE2N|Introspective Brown|Nâng cao|10000000|CI11|Black|https://shop.vinfastauto.com/vn_vi/dat-coc-o-to-dien-vinfast.html?modelId=Products-Car-VFMPV7
