model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_url
VF MPV 7|||interior|Nội thất|ac_type|Hệ thống điều hòa|Tự động, 1 vùng||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|cabin_air_filter|Lọc không khí Cabin|Lọc bụi mịn PM 2.5||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|rear_ac_vents|Ống thông gió dưới chân hành khách sau|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|rear_defroster|Sưởi kính sau|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||chassis|Khung gầm & hệ thống treo|front_suspension_type|Hệ thống treo trước|MacPherson độc lập||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||chassis|Khung gầm & hệ thống treo|rear_suspension_type|Hệ thống treo sau|Đa liên kết||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||chassis|Khung gầm & hệ thống treo|front_brake_type|Phanh trước|Đĩa thông gió||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||chassis|Khung gầm & hệ thống treo|rear_brake_type|Phanh sau|Đĩa||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||convenience|Tiện nghi|epb_auto_hold|Phanh đỗ điện tử & giữ phanh tự động|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||exterior|Ngoại thất|wheel_size_inch|Kích thước la-zăng|Mâm hợp kim 19 inch|inch|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||exterior|Ngoại thất|tire_size|Kích thước lốp|235/50 R19||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||chassis|Khung gầm & hệ thống treo|steering_assist_type|Trợ lực lái|Trợ lực điện||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||infotainment|Giải trí & kết nối|virtual_assistant|Trợ lý ảo|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|display_inch|Màn hình giải trí cảm ứng|10,1 inch|inch|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||infotainment|Giải trí & kết nối|smartphone_integration|Kết nối Android Auto / Apple CarPlay|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|speakers|Hệ thống loa|4 loa|số lượng|https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
VF MPV 7|||interior|Nội thất|trunk_light|Đèn khoang hành lý|Có||https://storage.googleapis.com/vinfast-data-01/brochure/VF_MPV%207_Brochure_2026.02.03.pdf
